WeekStart,GrossPnL,Cost,NetPnL,NBars,NSecAvg,GrossAbsWeightAvg
2025-07-28,-0.012729,0.000077,-0.012806,17,7.000000,1.4059718517647058
2025-08-04,-0.002743,0.000451,-0.003194,35,7.000000,3.4597535742857142
2025-08-11,0.011236,0.000578,0.010658,35,7.000000,4.7119638420000000
2025-08-18,-0.012322,0.000746,-0.013068,35,7.000000,5.8832473651428571
2025-08-25,-0.014539,0.000490,-0.015029,21,7.000000,6.3278477785714285
