DayDate,GrossPnL,Cost,NetPnL,NBars,HitRatioBars,NSecAvg,GrossAbsWeightAvg,TurnoverAbsSum
2025-07-30,-0.000157,0.000004,-0.000161,3,0.333333,7.000000,0.2491307133333333,0.396171
2025-07-31,0.001548,0.000022,0.001526,7,0.571428,7.000000,1.0845903185714285,2.200381
2025-08-01,-0.014120,0.000051,-0.014171,7,0.428571,7.000000,2.2231424442857142,5.141524
2025-08-04,-0.000616,0.000075,-0.000691,7,0.285714,7.000000,2.8298943542857142,7.455555
2025-08-05,-0.003961,0.000080,-0.004041,7,0.285714,7.000000,2.9583202785714285,8.034443
2025-08-06,0.002720,0.000092,0.002628,7,0.571428,7.000000,3.4863725428571428,9.195145
2025-08-07,-0.002345,0.000099,-0.002444,7,0.428571,7.000000,3.9182914571428571,9.911053
2025-08-08,0.001459,0.000105,0.001354,7,0.428571,7.000000,4.1058892385714285,10.547083
2025-08-11,0.001253,0.000102,0.001151,7,0.571428,7.000000,3.8624927142857142,10.248025
2025-08-12,0.001775,0.000098,0.001677,7,0.571428,7.000000,4.1077004000000000,9.849368
2025-08-13,0.002548,0.000114,0.002434,7,0.428571,7.000000,4.6367903285714285,11.396819
2025-08-14,0.000819,0.000124,0.000695,7,0.571428,7.000000,5.2101377957142857,12.428803
2025-08-15,0.004841,0.000139,0.004702,7,0.571428,7.000000,5.7426979714285714,13.892455
2025-08-18,-0.002985,0.000150,-0.003135,7,0.428571,7.000000,5.8462860000000000,14.961929
2025-08-19,0.001449,0.000151,0.001298,7,0.428571,7.000000,6.0784187285714285,15.070410
2025-08-20,-0.003308,0.000151,-0.003459,7,0.428571,7.000000,6.0721091971428571,15.095931
2025-08-21,-0.004430,0.000152,-0.004582,7,0.285714,7.000000,5.8211650285714285,15.205060
2025-08-22,-0.003048,0.000142,-0.003190,7,0.428571,7.000000,5.5982578714285714,14.248226
2025-08-25,-0.007245,0.000150,-0.007395,7,0.142857,7.000000,6.2882728328571428,15.045929
2025-08-26,-0.005823,0.000172,-0.005995,7,0.142857,7.000000,6.7338203171428571,17.238710
2025-08-27,-0.001471,0.000168,-0.001639,7,0.428571,7.000000,5.9614501857142857,16.753574
